DATE_ENREGISTREMENT;ETAT;QUANTITE;NO_LICENCE;LIB_CIVILITE;NOM_PERSONNE;PRENOM_PERSONNE;DATE_NAISSANCE_PERSONNE;LIB_NATIONALITE;SEXE_PERSONNE;CODE_STRUCTURE;NOM_STRUCTURE;NOM_ABREGE_STRUCTURE;CODE_DEPARTEMENT;NOM_DEPARTEMENT;CODE_LIGUE;NOM_LIGUE;NOM_FEDERATION;LIB_SAISON;LIB_TARIF;TARIF;LICENCE_TRANSFERT;DUPLICATA;LIB_PRODUIT_ASSUR;PRODUIT_ASSUR;LIB_PRODUIT_ABONN;PRODUIT_ABONN;CODE_PRODUIT;LIB_TYPE_LICENCE;LIB_TYPE_LICENCE_ASSOCIE;CREATION_RENOUVELLEMENT;CODE_FAMILLE;LIB_FAMILLE;NUMERO_COMMANDE;DATE_COMMANDE;DATE_REGLEMENT;ETAT_COMMANDE;DEBUT_VALIDITE_LICENCE;FIN_VALIDITE_LICENCE;DATE_SOUSCRIPTION;DATE_VALIDATION;DATE_EDITION;ETAT_EDITION;LIB_SURCLASSEMENT;CODE_CATAGE;LIB_CATAGE;LIB_ACTIVITE;ACTIVITE_PRINCIPALE;DATE_CERTIFICAT_MEDICAL_CMNCI;TYPE_CERTIFICAT_MEDICAL_CMNCI;NOM_MEDECIN_CERTIFICAT_MEDICAL_CMNCI;NUM_MEDECIN_CERTIFICAT_MEDICAL_CMNCI;DATE_CERTIFICAT_MEDICAL_CMNCI_COMP;TYPE_CERTIFICAT_MEDICAL_CMNCI_COMP;NOM_MEDECIN_CERTIFICAT_MEDICAL_CMNCI_COMP;NUM_MEDECIN_CERTIFICAT_MEDICAL_CMNCI_COMP;ADRESSE_APPART_PERSONNE;ADRESSE_IMMEUBLE_PERSONNE;ADRESSE_RUE_PERSONNE;ADRESSE_LIEUDIT_PERSONNE;ADRESSE_CODE_POSTAL_PERSONNE;ADRESSE_VILLE_PERSONNE;ADRESSE_PAYS_PERSONNE;ADRESSE_CODEINSEE_PERSONNE;ADRESSE_EMAIL_PERSONNE;ADRESSE_EMAIL2_PERSONNE;ADRESSE_TEL1_PERSONNE;ADRESSE_TEL2_PERSONNE;ADRESSE_MOBILE1_PERSONNE;ADRESSE_MOBILE2_PERSONNE;ADRESSE_FAX1_PERSONNE;LONGITUDE;LATITUDE;AUTORISATION_DIFFUSION_ADRESSE;TAILLE
02/09/2021 04:53;Inactif;1;817169Z;Mme;BLACKWALL;ELISABETH;07/24/1942;FR;Femme;335073;LES ARCHERS DE LIFFRE;LIFFRE;35000;COMITE DEPARTEMENTAL ILLE ET VILAINE;CR03;COMITE REGIONAL DE BRETAGNE;FFTA;2022;;68,75;Non;Non;Assurance;ASSUR;;;A;ADULTE Pratique en compétition;;RENOUVELLEMENT;LIC;Licences;0000002477.21.22.007;01/09/2021;01/10/2021;Paye;02/09/2021;31/08/2022;02/09/2021;02/09/2021;03/09/2021;Editee;Aucun;S3;Sénior 3;Arc Classique;;;;;;23/09/2019;Non contre ind. compétition;;;;;;PLACE DE LA MAIRIE;35590;CLAYES;FRANCE;35590;elisabeth_blackwall2327@qater.org;elisabeth_blackwall2327@qater.org;06 63 73 74 64;06 96 14 58 67;06 78 83 42 71;;;-1.89271998405;48.2151985168;Oui;S
02/09/2021 07:48;Actif;1;455553C;Mme;PATERSON;BRIDGET;07/24/1942;FR;Femme;335073;LES ARCHERS DE LIFFRE;LIFFRE;35000;COMITE DEPARTEMENTAL ILLE ET VILAINE;CR03;COMITE REGIONAL DE BRETAGNE;FFTA;2022;;68,75;Non;Non;Assurance;ASSUR;;;A;ADULTE Pratique en compétition;;RENOUVELLEMENT;LIC;Licences;0000002477.21.22.007;01/09/2021;01/10/2021;Paye;02/09/2021;31/08/2022;02/09/2021;02/09/2021;03/09/2021;Editee;Aucun;S1;Sénior 1;Arc Classique;;;;;;07/09/2020;Non contre ind. compétition;;;;;;16 RUE DE LA MAIRIE;35560;MARCILLÉ-RAOUL;FRANCE;35560;bridget_paterson6918@naiker.biz;;06 21 35 42 60;07 86 51 90 13;06 19 74 63 38;;;-1.604002;48.385553;Oui;S
09/09/2021 07:29;Actif;1;258282R;Mme;NOACH;SLOANE;09/20/1954;FR;Femme;335073;LES ARCHERS DE LIFFRE;LIFFRE;35000;COMITE DEPARTEMENTAL ILLE ET VILAINE;CR03;COMITE REGIONAL DE BRETAGNE;FFTA;2022;;68,75;Non;Non;Assurance;ASSUR;;;A;ADULTE Pratique en compétition;;RENOUVELLEMENT;LIC;Licences;0000002477.21.22.007;01/09/2021;01/10/2021;Paye;09/09/2021;31/08/2022;09/09/2021;09/09/2021;10/09/2021;Editee;Aucun;S2;Sénior 2;Arc Nu;;;;;;13/09/2019;Non contre ind. compétition;;;;;11 RUE CHANOINE-HÉLESBEUX;;35420;LA BAZOUGE-DU-DÉSERT;FRANCE;35420;sloane_noach3087@elnee.tech;;06 70 52 71 57;06 10 83 86 41;07 97 34 20 74;07 50 55 97 35;;-1.10603904724;48.4436645508;Oui;L
09/09/2021 07:31;Actif;1;421800G;M.;CARTWRIGHT;FRED;09/20/1954;FR;Homme;335073;LES ARCHERS DE LIFFRE;LIFFRE;35000;COMITE DEPARTEMENTAL ILLE ET VILAINE;CR03;COMITE REGIONAL DE BRETAGNE;FFTA;2022;;68,75;Non;Non;Assurance;ASSUR;;;A;ADULTE Pratique en compétition;;RENOUVELLEMENT;LIC;Licences;0000002477.21.22.007;01/09/2021;01/10/2021;Paye;09/09/2021;31/08/2022;09/09/2021;09/09/2021;10/09/2021;Editee;Aucun;S2;Sénior 2;Arc à Poulies,Arc Chasse;;;;;;05/09/2020;Non contre ind. compétition;;;;;1 PLACE DE LA MAIRIE;;35270;MEILLAC;FRANCE;35270;fred_cartwright7684@hourpy.biz;fred_cartwright7684@hourpy.biz;07 16 92 79 89;07 24 79 16 37;06 53 57 45 19;;;-1.81163799763;48.4115943909;Oui;L
09/09/2021 08:10;Actif;1;636388O;M.;GREGORY;FRED;09/20/1954;FR;Homme;335073;LES ARCHERS DE LIFFRE;LIFFRE;35000;COMITE DEPARTEMENTAL ILLE ET VILAINE;CR03;COMITE REGIONAL DE BRETAGNE;FFTA;2022;;68,75;Non;Non;Assurance;ASSUR;;;A;ADULTE Pratique en compétition;;RENOUVELLEMENT;LIC;Licences;0000002477.21.22.007;01/09/2021;01/10/2021;Paye;09/09/2021;31/08/2022;09/09/2021;09/09/2021;10/09/2021;Editee;Aucun;S2;Sénior 2;Arc Classique;;;;;;14/08/2020;Non contre ind. compétition;;;;;4 RUE DU TAILLIS;;35270;TRÉMEHEUC;FRANCE;35270;fred_gregory4668@nimogy.biz;;07 49 85 59 94;06 45 75 46 88;06 53 91 53 99;;;-1.70322;48.425326;Oui;XL
09/09/2021 08:14;Actif;1;117350O;M.;ELLISON;BENNY;09/20/1954;FR;Homme;335073;LES ARCHERS DE LIFFRE;LIFFRE;35000;COMITE DEPARTEMENTAL ILLE ET VILAINE;CR03;COMITE REGIONAL DE BRETAGNE;FFTA;2022;;68,75;Non;Non;Assurance;ASSUR;;;A;ADULTE Pratique en compétition;;RENOUVELLEMENT;LIC;Licences;0000002477.21.22.007;01/09/2021;01/10/2021;Paye;09/09/2021;31/08/2022;09/09/2021;09/09/2021;10/09/2021;Editee;Aucun;S2;Sénior 2;Arc à Poulies,Arc Classique;;;;;;17/09/2019;Non contre ind. compétition;;;;;23 RUE DE BRETAGNE;;35420;LE FERRÉ;FRANCE;35420;benny_ellison5671@elnee.tech;;06 13 22 45 92;06 87 33 89 53;;06 37 44 73 19;;-1.83492994308;48.3291015625;Oui;XL
09/09/2021 08:21;Actif;1;780739H;M.;LANE;CHUCK;03/29/1956;FR;Homme;335073;LES ARCHERS DE LIFFRE;LIFFRE;35000;COMITE DEPARTEMENTAL ILLE ET VILAINE;CR03;COMITE REGIONAL DE BRETAGNE;FFTA;2022;;68,75;Non;Non;Assurance;ASSUR;;;A;ADULTE Pratique en compétition;;RENOUVELLEMENT;LIC;Licences;0000002477.21.22.007;01/09/2021;01/10/2021;Paye;09/09/2021;31/08/2022;09/09/2021;09/09/2021;10/09/2021;Editee;Aucun;S1;Sénior 1;Arc à Poulies,Arc Droit;;;;;;30/09/2019;Non contre ind. compétition;;;;;PLACE DE LA MAIRIE;;35210;COMBOURTILLÉ;FRANCE;35210;chuck_lane3351@corti.com;chuck_lane3351@corti.com;07 13 57 63 26;07 30 42 94 11;06 76 43 13 84;07 45 66 41 98;;-1.2913047;48.2739757;Oui;L
09/09/2021 08:22;Actif;1;479388B;M.;NAYLER;EDUARDO;03/29/1956;FR;Homme;335073;LES ARCHERS DE LIFFRE;LIFFRE;35000;COMITE DEPARTEMENTAL ILLE ET VILAINE;CR03;COMITE REGIONAL DE BRETAGNE;FFTA;2022;;68,75;Non;Non;Assurance;ASSUR;;;A;ADULTE Pratique en compétition;;RENOUVELLEMENT;LIC;Licences;0000002477.21.22.007;01/09/2021;01/10/2021;Paye;09/09/2021;31/08/2022;09/09/2021;09/09/2021;10/09/2021;Editee;Aucun;S1;Sénior 1;Arc Classique;;;;;;30/09/2019;Non contre ind. compétition;;;;;5 PLACE DE L'HÔTEL-DE-VILLE;;35220;CHÂTEAUBOURG;FRANCE;35220;eduardo_nayler8135@extex.org;;07 30 73 60 91;06 41 31 16 70;06 62 48 13 89;;;-1.405353;48.109406;Oui;M
09/09/2021 08:37;Actif;1;749495U;Mme;BLOOM;LILIANA;12/29/1967;FR;Femme;335073;LES ARCHERS DE LIFFRE;LIFFRE;35000;COMITE DEPARTEMENTAL ILLE ET VILAINE;CR03;COMITE REGIONAL DE BRETAGNE;FFTA;2022;;68,75;Non;Non;Assurance;ASSUR;;;A;ADULTE Pratique en compétition;;RENOUVELLEMENT;LIC;Licences;0000002477.21.22.007;01/09/2021;01/10/2021;Paye;09/09/2021;31/08/2022;09/09/2021;09/09/2021;10/09/2021;Editee;Aucun;S3;Sénior 3;Arc Classique;;;;;;10/10/2019;Non contre ind. compétition;;;;;1 PLACE DE LA MAIRIE;;35330;COMBLESSAC;FRANCE;35330;liliana_bloom4802@gompie.com;;07 53 27 61 89;07 77 17 52 95;06 30 53 70 18;07 39 60 99 93;;-2.084245;47.876768;Oui;XXL
13/09/2021 02:22;Actif;1;273666I;M.;ROWE;ALEXANDER;03/29/1956;FR;Homme;335073;LES ARCHERS DE LIFFRE;LIFFRE;35000;COMITE DEPARTEMENTAL ILLE ET VILAINE;CR03;COMITE REGIONAL DE BRETAGNE;FFTA;2022;;68,75;Non;Non;Assurance;ASSUR;;;A;ADULTE Pratique en compétition;;RENOUVELLEMENT;LIC;Licences;0000002477.21.22.007;01/09/2021;01/10/2021;Paye;13/09/2021;31/08/2022;13/09/2021;13/09/2021;14/09/2021;Editee;Aucun;S2;Sénior 2;Arc à Poulies,Arc Libre;;;;;;25/08/2020;Non contre ind. compétition;;;;;35 RUE COLONEL-DU-HALGOUËT;;35660;RENAC;FRANCE;35660;alexander_rowe4337@dionrab.com;;07 82 63 32 31;06 19 29 76 98;;06 79 54 58 24;;-1.975602;47.7194505;Oui;S
